epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2235,1.58387,4.48172,0.02471,0.02566,0.26515,0.09042,0.05159,1.38932,4.00482,0.02366,0.000330383,0.000330383,0.067292
2,80.5323,1.51051,3.02937,0.02341,0.11841,0.20455,0.21591,0.12527,1.38348,2.52683,0.02545,0.000657146,0.000657146,0.0342855
3,120.947,1.39852,2.66176,0.02201,0.16684,0.46896,0.23849,0.11962,1.60934,3.4585,0.03204,0.000977309,0.000977309,0.00127229
4,159.757,1.38683,2.47619,0.02272,0.4167,0.27468,0.31218,0.18316,1.23191,2.18993,0.02361,0.0009703,0.0009703,0.0009703
5,197.982,1.31722,2.18349,0.02144,0.41782,0.37815,0.32458,0.21226,1.22848,2.02895,0.02289,0.0009604,0.0009604,0.0009604
6,236.011,1.3361,2.07498,0.02102,0.32382,0.5091,0.33608,0.19769,1.2713,2.26819,0.02455,0.0009505,0.0009505,0.0009505
7,274.905,1.3721,1.82502,0.02218,0.35649,0.489,0.39197,0.2456,1.27386,1.85787,0.02409,0.0009406,0.0009406,0.0009406
8,315.769,1.28992,1.8227,0.02164,0.32392,0.48509,0.35996,0.23565,1.30422,1.88603,0.02534,0.0009307,0.0009307,0.0009307
9,357.018,1.33647,1.76327,0.02209,0.39662,0.48059,0.43257,0.27861,1.25922,1.6482,0.02488,0.0009208,0.0009208,0.0009208
10,398.787,1.21771,1.74387,0.01952,0.42384,0.52665,0.47639,0.31675,1.14854,1.65814,0.02182,0.0009109,0.0009109,0.0009109
11,439.609,1.31047,1.54442,0.02169,0.5205,0.51833,0.55637,0.36912,1.14556,1.44721,0.02073,0.000901,0.000901,0.000901
12,481.384,1.21034,1.5455,0.02019,0.59136,0.48143,0.56139,0.36193,1.22718,1.39406,0.02408,0.0008911,0.0008911,0.0008911
13,522.892,1.1963,1.49548,0.01976,0.62408,0.51075,0.57698,0.38485,1.13789,1.41079,0.02086,0.0008812,0.0008812,0.0008812
14,564.168,1.22813,1.41866,0.02004,0.5731,0.42094,0.51971,0.35833,1.17582,1.43374,0.02246,0.0008713,0.0008713,0.0008713
15,1694.7,1.23847,1.38322,0.02003,0.55755,0.58382,0.552,0.37418,1.11276,1.38771,0.02013,0.0008614,0.0008614,0.0008614
16,1736.83,1.218,1.49931,0.01975,0.43841,0.61067,0.58285,0.37696,1.18888,1.48907,0.02312,0.0008515,0.0008515,0.0008515
17,1778.01,1.23899,1.3926,0.02052,0.44778,0.56806,0.4913,0.32677,1.2182,1.40745,0.02396,0.0008416,0.0008416,0.0008416
18,1819.94,1.17127,1.2594,0.01949,0.5395,0.58749,0.59364,0.38775,1.15826,1.32397,0.02225,0.0008317,0.0008317,0.0008317
19,1861.92,1.18117,1.30909,0.02019,0.64184,0.67289,0.65121,0.39323,1.28547,1.17124,0.02493,0.0008218,0.0008218,0.0008218
20,1902.94,1.17467,1.29039,0.01839,0.53636,0.64201,0.58862,0.41515,1.09956,1.29617,0.02106,0.0008119,0.0008119,0.0008119
21,1947.4,1.20121,1.20647,0.02006,0.64787,0.5022,0.57427,0.38131,1.05502,1.34862,0.01985,0.000802,0.000802,0.000802
22,1991.7,1.18644,1.17903,0.0188,0.56627,0.66911,0.5766,0.37588,1.21529,1.30187,0.02279,0.0007921,0.0007921,0.0007921
23,2060.31,1.10913,1.15249,0.0179,0.64462,0.62102,0.64539,0.44828,1.13855,1.21838,0.02177,0.0007822,0.0007822,0.0007822
24,2105.98,1.14106,1.18775,0.01862,0.54194,0.64634,0.60201,0.41118,1.1387,1.25157,0.02182,0.0007723,0.0007723,0.0007723
25,2151.16,1.13603,1.12407,0.01858,0.56482,0.59695,0.63628,0.43085,1.14543,1.22411,0.02232,0.0007624,0.0007624,0.0007624
26,2202.27,1.12756,1.10255,0.0193,0.66335,0.55156,0.6427,0.42454,1.14392,1.23967,0.02149,0.0007525,0.0007525,0.0007525
27,2246,1.10088,0.98254,0.0177,0.64185,0.6509,0.71389,0.48459,1.14427,1.11057,0.02241,0.0007426,0.0007426,0.0007426
28,2289.86,1.09976,1.02371,0.01773,0.54896,0.70137,0.64683,0.43233,1.17644,1.14534,0.02247,0.0007327,0.0007327,0.0007327
